inchikey,name,is drug,evidence,moa,support,p 1e-5,p 1e-4,p 1e-3,top1_inchikey,top2_inchikey,top3_inchikey,top1_name,top2_name,top3_name
VRXFDHAGFYWGHT-UHFFFAOYSA-N,Desethylamodiaquine,0,-2,-2,15,2,2,2,OVCDSSHSILBFBN-UHFFFAOYSA-N,DOMXUEMWDBAQBQ-UHFFFAOYSA-N,GCWIQUVXWZWCLE-INIZCTEOSA-N,Amodiaquine,Terbinafine,Cpi-0610
ZVMMVSSEAMUNGI-UHFFFAOYSA-N,Chembl147806,0,-2,-2,15,2,2,2,OVCDSSHSILBFBN-UHFFFAOYSA-N,DOMXUEMWDBAQBQ-UHFFFAOYSA-N,GCWIQUVXWZWCLE-INIZCTEOSA-N,Amodiaquine,Terbinafine,Cpi-0610
QGFYFOHMBDMGBZ-UHFFFAOYSA-N,Isoquine,0,-2,-2,13,1,2,2,OVCDSSHSILBFBN-UHFFFAOYSA-N,DOMXUEMWDBAQBQ-UHFFFAOYSA-N,GCWIQUVXWZWCLE-INIZCTEOSA-N,Amodiaquine,Terbinafine,Cpi-0610
LJECYISEUVKVSC-UHFFFAOYSA-N,Ac1Mil9P,0,-2,-2,12,1,1,1,KCFYEAOKVJSACF-UHFFFAOYSA-N,,,Umifenovir,,
ODYSAWYGZWJOPM-VYNOCKSYSA-N,Upcmld00Wcrs-6-247,0,-2,-2,12,1,1,1,KCFYEAOKVJSACF-UHFFFAOYSA-N,,,Umifenovir,,
MWLUZKNOWKFDBX-UHFFFAOYSA-N,CID29168672,0,-2,-2,12,1,1,1,KCFYEAOKVJSACF-UHFFFAOYSA-N,,,Umifenovir,,
HVBTZDOCHOTHDH-UHFFFAOYSA-N,Ac1Mfk4J,0,-2,-2,12,1,1,1,KCFYEAOKVJSACF-UHFFFAOYSA-N,,,Umifenovir,,
AYTJXAGPYRAKAF-UHFFFAOYSA-N,Ac1Lkehb,0,-2,-2,12,1,1,1,KCFYEAOKVJSACF-UHFFFAOYSA-N,,,Umifenovir,,
BXZGSIDSJSGAJE-UHFFFAOYSA-N,Chembl3604734,0,-2,-2,12,1,2,2,GCWIQUVXWZWCLE-INIZCTEOSA-N,OVCDSSHSILBFBN-UHFFFAOYSA-N,DOMXUEMWDBAQBQ-UHFFFAOYSA-N,Cpi-0610,Amodiaquine,Terbinafine
UYWFGOGKZMUZBS-UHFFFAOYSA-N,Mls000533485,0,-2,-2,12,1,1,1,KCFYEAOKVJSACF-UHFFFAOYSA-N,,,Umifenovir,,
QTUZZGDVIHVSHA-UHFFFAOYSA-N,Chembl3604701,0,-2,-2,12,1,2,2,GCWIQUVXWZWCLE-INIZCTEOSA-N,OVCDSSHSILBFBN-UHFFFAOYSA-N,DOMXUEMWDBAQBQ-UHFFFAOYSA-N,Cpi-0610,Amodiaquine,Terbinafine
