inchikey,name,is drug,evidence,moa,support,p 1e-5,p 1e-4,p 1e-3,top1_inchikey,top2_inchikey,top3_inchikey,top1_name,top2_name,top3_name
OXPLANUPKBHPMS-ZXBNPROVSA-N,Desisobutyrylciclesonide,0,-2,-2,12,1,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
UYNVMODNBIQBMV-UHFFFAOYSA-N,Ifenprodil,1,3,5,12,1,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,JHVAMHSQVVQIOT-MFAJLEFUSA-N,,Ifenprodil,Anidulafungin,
XSFBBGJZQQTFHV-LAUBAEHRSA-N,Chembl321349,0,-2,-2,12,1,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
MJFXQINBAMQTEC-KKSFZXQISA-N,Chembl104625,0,-2,-2,12,1,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
VOVIALXJUBGFJZ-KWVAZRHASA-N,Budesonide,1,-2,-2,12,1,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
LUKZNWIVRBCLON-GXOBDPJESA-N,Ciclesonide,1,3,5,12,1,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
SYXYUKMELXLDBD-PLFKCFKRSA-N,Chembl2372494,0,-2,-2,9,1,1,1,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,OLROWHGDTNFZBH-XEMWPYQTSA-N,Ciclosporin,Ciclosporin,Alisporivir
QFJCIRLUMZQUOT-HPLJOQBZSA-N,Sirolimus,1,2,5,9,1,1,1,QFJCIRLUMZQUOT-HPLJOQBZSA-N,QJJXYPPXXYFBGM-LFZNUXCKSA-N,FSVJFNAIGNNGKK-UHFFFAOYSA-N,Sirolimus,Tacrolimus,(R)-Praziquantel
HFVORKQMCNYFND-UJUZIFHISA-N,Chembl2216757,0,-2,-2,9,1,1,1,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,OLROWHGDTNFZBH-XEMWPYQTSA-N,Ciclosporin,Ciclosporin,Alisporivir
PMATZTZNYRCHOR-CGLBZJNRSA-N,Ciclosporin,1,2,5,9,1,1,1,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR-UHFFFAOYSA-N,OLROWHGDTNFZBH-XEMWPYQTSA-N,Ciclosporin,Ciclosporin,Alisporivir
BSABEXCGYNCVLE-XFBAUXGISA-N,Chembl1940691,0,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
QTTRZHGPGKRAFB-OOKHYKNYSA-N,Rimexolone,1,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
DJXXIZYLWLRREJ-UHFFFAOYSA-N,Chembl413998,0,-2,-2,8,0,1,1,UYNVMODNBIQBMV-UHFFFAOYSA-N,,,Ifenprodil,,
CRJJIECNFFXCPM-AVKOWRSVSA-N,Chembl1940546,0,-2,-2,8,0,1,1,LUKZNWIVRBCLON-GXOBDPJESA-N,,,Ciclesonide,,
